brand,country,vertical,sov
KAYAK,Canada,Vacations,9.9158%
Hotelscombined,Canada,Vacations,7.1593%
Momondo,Cayman Islands,Car Rentals,25.0000%
KAYAK,Cayman Islands,Flights,8.4572%
CheapFlights,Cayman Islands,Flights,4.3680%
Momondo,Cayman Islands,Flights,2.7881%
Hotelscombined,Cayman Islands,Flights,8.7361%
KAYAK,Cayman Islands,Hotel,2.8409%
Hotelscombined,Cayman Islands,Hotel,6.8892%
Momondo,Cayman Islands,Hotel,0.2131%
KAYAK,Cayman Islands,Hotel Citywide,10.9130%
Momondo,Cayman Islands,Hotel Citywide,1.5692%
Hotelscombined,Cayman Islands,Hotel Citywide,3.8338%
CheapFlights,Cayman Islands,Hotel Citywide,0.0357%
Hotelscombined,Cayman Islands,Vacations,3.1250%
KAYAK,Central African Republic,Flights,15.6726%
CheapFlights,Central African Republic,Flights,9.9619%
Momondo,Central African Republic,Flights,5.9010%
Hotelscombined,Central African Republic,Flights,3.1726%
KAYAK,Central African Republic,Hotel Citywide,4.0486%
Momondo,Central African Republic,Hotel Citywide,3.3401%
Hotelscombined,Central African Republic,Hotel Citywide,2.6316%
KAYAK,Central African Republic,Vacations,25.0000%
KAYAK,Chad,Flights,14.7734%
CheapFlights,Chad,Flights,11.4207%
Momondo,Chad,Flights,3.8120%
Hotelscombined,Chad,Flights,5.6338%
KAYAK,Chad,Hotel,4.4643%
Hotelscombined,Chad,Hotel,3.5714%
KAYAK,Chad,Hotel Citywide,4.7191%
Momondo,Chad,Hotel Citywide,1.0393%
Hotelscombined,Chad,Hotel Citywide,1.6292%
Hotelscombined,Chad,Vacations,16.6667%
Momondo,Chile,Car Rentals,24.5413%
KAYAK,Chile,Car Rentals,2.2936%
KAYAK,Chile,Flights,4.4125%
CheapFlights,Chile,Flights,5.0988%
Momondo,Chile,Flights,2.9370%
Hotelscombined,Chile,Flights,4.7701%
Hotelscombined,Chile,Hotel,7.2705%
KAYAK,Chile,Hotel,5.3331%
Momondo,Chile,Hotel,0.6135%
Momondo,Chile,Hotel Citywide,2.9930%
Hotelscombined,Chile,Hotel Citywide,5.4507%
KAYAK,Chile,Hotel Citywide,1.0004%
Swoodoo,Chile,Hotel Citywide,0.0020%
Hotelscombined,Chile,Vacations,11.9792%
KAYAK,Chile,Vacations,0.7813%
Momondo,China,Car Rentals,25.0000%
Hotelscombined,China,Flights,10.4278%
Hotelscombined,China,Hotel,3.4946%
Hotelscombined,China,Hotel Citywide,3.7507%
KAYAK,China,Hotel Citywide,0.0395%
Momondo,China,Hotel Citywide,0.0198%
Swoodoo,China,Hotel Citywide,0.0025%
Hotelscombined,China,Vacations,10.0000%
Momondo,Christmas Island,Hotel Citywide,8.3333%
KAYAK,Christmas Island,Hotel Citywide,8.3333%
KAYAK,Cocos [Keeling] Islands,Hotel Citywide,7.1429%
Momondo,Cocos [Keeling] Islands,Hotel Citywide,3.5714%
Hotelscombined,Cocos [Keeling] Islands,Hotel Citywide,7.1429%
Momondo,Colombia,Car Rentals,23.9504%
KAYAK,Colombia,Car Rentals,5.2481%
KAYAK,Colombia,Flights,7.3733%
CheapFlights,Colombia,Flights,7.3048%
Momondo,Colombia,Flights,4.0621%
Hotelscombined,Colombia,Flights,2.5945%
